Timestamp,Server,Latency (ms),Status,Packet_Loss_%
2025-10-13 15:30:41.260,8.8.8.8,40.00,Success,0.00
2025-10-13 15:30:42.234,8.8.8.8,30.00,Success,0.00
2025-10-13 15:30:43.252,8.8.8.8,34.00,Success,0.00
2025-10-13 15:30:44.243,8.8.8.8,36.00,Success,0.00
2025-10-13 15:30:45.228,8.8.8.8,31.00,Success,0.00
2025-10-13 15:30:46.229,8.8.8.8,31.00,Success,0.00
2025-10-13 15:30:47.247,8.8.8.8,32.00,Success,0.00
2025-10-13 15:30:48.234,8.8.8.8,32.00,Success,0.00
2025-10-13 15:30:49.239,8.8.8.8,30.00,Success,0.00
2025-10-13 15:30:50.231,8.8.8.8,32.00,Success,0.00
2025-10-13 15:30:51.232,8.8.8.8,32.00,Success,0.00
2025-10-13 15:30:52.232,8.8.8.8,30.00,Success,0.00
2025-10-13 15:30:53.233,8.8.8.8,30.00,Success,0.00
2025-10-13 15:30:54.243,8.8.8.8,35.00,Success,0.00
2025-10-13 15:30:55.245,8.8.8.8,36.00,Success,0.00
2025-10-13 15:30:56.245,8.8.8.8,36.00,Success,0.00
2025-10-13 15:30:57.234,8.8.8.8,32.00,Success,0.00
2025-10-13 15:30:58.240,8.8.8.8,31.00,Success,0.00
2025-10-13 15:30:59.243,8.8.8.8,35.00,Success,0.00
2025-10-13 15:31:00.242,8.8.8.8,31.00,Success,0.00
2025-10-13 15:31:01.256,8.8.8.8,47.00,Success,0.00
2025-10-13 15:31:02.249,8.8.8.8,35.00,Success,0.00
2025-10-13 15:31:03.249,8.8.8.8,35.00,Success,0.00
2025-10-13 15:31:04.247,8.8.8.8,31.00,Success,0.00
2025-10-13 15:31:05.312,8.8.8.8,30.00,Success,0.00
2025-10-13 15:31:06.299,8.8.8.8,55.00,Success,0.00
2025-10-13 15:31:07.246,8.8.8.8,35.00,Success,0.00
2025-10-13 15:31:08.270,8.8.8.8,61.00,Success,0.00
2025-10-13 15:31:09.255,8.8.8.8,42.00,Success,0.00
2025-10-13 15:31:10.246,8.8.8.8,32.00,Success,0.00
2025-10-13 15:31:11.241,8.8.8.8,31.00,Success,0.00
2025-10-13 15:31:12.246,8.8.8.8,33.00,Success,0.00
2025-10-13 15:31:13.246,8.8.8.8,31.00,Success,0.00
2025-10-13 15:31:14.246,8.8.8.8,31.00,Success,0.00
2025-10-13 15:31:15.253,8.8.8.8,44.00,Success,0.00
2025-10-13 15:31:16.246,8.8.8.8,30.00,Success,0.00
2025-10-13 15:31:17.249,8.8.8.8,36.00,Success,0.00
2025-10-13 15:31:18.245,8.8.8.8,31.00,Success,0.00
2025-10-13 15:31:19.257,8.8.8.8,36.00,Success,0.00
2025-10-13 15:31:20.248,8.8.8.8,32.00,Success,0.00
2025-10-13 15:31:21.246,8.8.8.8,34.00,Success,0.00
2025-10-13 15:31:22.262,8.8.8.8,38.00,Success,0.00
2025-10-13 15:31:23.250,8.8.8.8,37.00,Success,0.00
2025-10-13 15:31:24.243,8.8.8.8,33.00,Success,0.00
2025-10-13 15:31:25.248,8.8.8.8,32.00,Success,0.00
2025-10-13 15:31:26.253,8.8.8.8,34.00,Success,0.00
2025-10-13 15:31:27.244,8.8.8.8,34.00,Success,0.00
2025-10-13 15:31:28.245,8.8.8.8,33.00,Success,0.00
2025-10-13 15:31:29.245,8.8.8.8,33.00,Success,0.00
2025-10-13 15:31:30.252,8.8.8.8,34.00,Success,0.00
2025-10-13 15:31:31.263,8.8.8.8,47.00,Success,0.00
2025-10-13 15:31:32.298,8.8.8.8,33.00,Success,0.00
2025-10-13 15:31:33.256,8.8.8.8,33.00,Success,0.00
2025-10-13 15:31:34.264,8.8.8.8,39.00,Success,0.00
2025-10-13 15:31:35.263,8.8.8.8,50.00,Success,0.00
2025-10-13 15:31:36.248,8.8.8.8,30.00,Success,0.00
2025-10-13 15:31:37.255,8.8.8.8,38.00,Success,0.00
2025-10-13 15:31:38.247,8.8.8.8,33.00,Success,0.00
2025-10-13 15:31:39.271,8.8.8.8,45.00,Success,0.00
2025-10-13 15:31:40.248,8.8.8.8,33.00,Success,0.00
2025-10-13 15:31:41.253,8.8.8.8,32.00,Success,0.00
2025-10-13 15:31:42.249,8.8.8.8,32.00,Success,0.00
2025-10-13 15:31:43.248,8.8.8.8,30.00,Success,0.00
2025-10-13 15:31:44.249,8.8.8.8,34.00,Success,0.00
2025-10-13 15:31:45.257,8.8.8.8,39.00,Success,0.00
2025-10-13 15:31:46.254,8.8.8.8,34.00,Success,0.00
2025-10-13 15:31:47.253,8.8.8.8,32.00,Success,0.00
2025-10-13 15:31:48.264,8.8.8.8,43.00,Success,0.00
2025-10-13 15:31:49.260,8.8.8.8,35.00,Success,0.00
2025-10-13 15:31:50.251,8.8.8.8,32.00,Success,0.00
2025-10-13 15:31:51.252,8.8.8.8,32.00,Success,0.00
2025-10-13 15:31:52.262,8.8.8.8,38.00,Success,0.00
2025-10-13 15:31:53.256,8.8.8.8,34.00,Success,0.00
2025-10-13 15:31:54.249,8.8.8.8,32.00,Success,0.00
2025-10-13 15:31:55.253,8.8.8.8,32.00,Success,0.00
2025-10-13 15:31:56.253,8.8.8.8,30.00,Success,0.00
2025-10-13 15:31:57.265,8.8.8.8,38.00,Success,0.00
2025-10-13 15:31:58.263,8.8.8.8,42.00,Success,0.00
2025-10-13 15:31:59.263,8.8.8.8,43.00,Success,0.00
2025-10-13 15:32:00.263,8.8.8.8,42.00,Success,0.00
2025-10-13 15:32:01.264,8.8.8.8,38.00,Success,0.00
2025-10-13 15:32:02.256,8.8.8.8,32.00,Success,0.00
2025-10-13 15:32:03.255,8.8.8.8,33.00,Success,0.00
2025-10-13 15:32:04.255,8.8.8.8,30.00,Success,0.00
2025-10-13 15:32:05.264,8.8.8.8,32.00,Success,0.00
2025-10-13 15:32:06.264,8.8.8.8,32.00,Success,0.00
2025-10-13 15:32:07.258,8.8.8.8,32.00,Success,0.00
2025-10-13 15:32:08.259,8.8.8.8,30.00,Success,0.00
2025-10-13 15:32:09.258,8.8.8.8,32.00,Success,0.00
2025-10-13 15:32:10.258,8.8.8.8,32.00,Success,0.00
2025-10-13 15:32:11.258,8.8.8.8,32.00,Success,0.00
2025-10-13 15:32:12.261,8.8.8.8,33.00,Success,0.00
2025-10-13 15:32:13.262,8.8.8.8,33.00,Success,0.00
2025-10-13 15:32:14.259,8.8.8.8,33.00,Success,0.00
2025-10-13 15:32:15.263,8.8.8.8,35.00,Success,0.00
2025-10-13 15:32:16.263,8.8.8.8,32.00,Success,0.00
2025-10-13 15:32:17.263,8.8.8.8,31.00,Success,0.00
2025-10-13 15:32:18.260,8.8.8.8,32.00,Success,0.00
2025-10-13 15:32:19.264,8.8.8.8,32.00,Success,0.00
2025-10-13 15:32:20.270,8.8.8.8,35.00,Success,0.00
2025-10-13 15:32:21.262,8.8.8.8,30.00,Success,0.00
